project_id,project_type,client_industry,start_date,end_date,duration_weeks,team_size,senior_partners,principals,senior_consultants,consultants,analysts,revenue,direct_costs,overhead_allocated,client_satisfaction,repeat_client
P036,Strategic Planning,Manufacturing,2024-06-15,2024-11-30,24,10,1,2,2,3,2,940000,720000,94000,4.3,Yes
P037,Organizational Design,Financial Services,2024-11-01,2025-05-15,28,12,1,2,3,3,3,1120000,890000,112000,3.9,Yes
P038,Technology Implementation,Consumer Goods,2024-07-01,2025-02-28,35,19,2,3,5,5,4,2250000,1850000,225000,4.6,No
P039,Market Entry,Healthcare,2024-10-15,2025-04-30,28,10,1,2,2,3,2,980000,760000,98000,4.4,Yes
P040,Supply Chain,Technology,2024-08-15,2025-03-15,30,16,2,2,4,4,4,1520000,1250000,152000,4.1,No
P041,Risk Management,Energy,2024-09-01,2025-02-15,24,11,1,2,3,3,2,1030000,790000,103000,4.0,No
P042,Performance Improvement,Retail,2024-12-01,2025-07-15,32,14,1,3,3,4,3,1350000,1115000,135000,3.8,No
P043,Digital Strategy,Financial Services,2024-06-01,2024-11-15,24,11,1,2,3,2,3,1050000,800000,105000,4.7,Yes
P044,Due Diligence,Private Equity,2024-11-15,2025-02-15,13,7,1,1,2,2,1,520000,355000,52000,4.3,Yes
P045,Operations,Insurance,2024-07-01,2025-01-30,30,15,2,2,4,4,3,1420000,1180000,142000,4.2,No
P046,Strategy,Consumer Goods,2024-10-01,2025-02-28,22,9,1,2,2,2,2,860000,640000,86000,4.5,Yes
P047,Cost Reduction,Healthcare,2024-08-15,2025-03-30,32,12,1,2,3,3,3,1180000,965000,118000,3.7,Yes
P048,M&A Support,Manufacturing,2024-09-01,2025-02-15,24,13,2,2,3,3,3,1280000,920000,128000,4.4,No
P049,Process Improvement,Technology,2024-06-15,2024-12-30,28,16,1,3,4,4,4,1480000,1200000,148000,4.1,Yes
P050,Strategic Planning,Energy,2024-12-01,2025-05-30,26,10,1,2,2,3,2,980000,760000,98000,4.0,No
