project_id,engagement_type,client_industry,project_duration_days,budget_usd,actual_cost_usd,team_size,lead_consultant_id,completion_date,client_satisfaction_score,project_complexity,budget_variance_pct,timeline_variance_days,final_deliverable_quality,client_retention
PROJ027,Security Architecture,Healthcare,105,305000,325000,7,CONS003,2024-05-25,6.8,High,6.6,12,Medium,No
PROJ028,Penetration Testing,Technology,33,78000,74000,3,CONS006,2024-02-18,8.8,Low,-5.1,-1,High,Yes
PROJ029,Compliance Audit,Energy,62,115000,122000,4,CONS002,2024-04-15,7.0,Medium,6.1,5,Medium,Yes
PROJ030,Security Architecture,Manufacturing,82,198000,185000,5,CONS009,2024-01-28,8.6,Medium,-6.6,-3,High,Yes
PROJ031,Penetration Testing,Retail,39,85000,87000,3,CONS007,2024-03-22,7.7,Low,2.4,1,Medium,Yes
PROJ032,Compliance Audit,Financial Services,59,128000,138000,4,CONS010,2024-05-18,6.9,Medium,7.8,7,Low,No
PROJ033,Security Architecture,Technology,97,275000,260000,6,CONS005,2024-02-25,8.9,High,-5.5,-2,High,Yes
PROJ034,Penetration Testing,Healthcare,47,125000,132000,4,CONS004,2024-04-08,7.6,Medium,5.6,4,Medium,Yes
PROJ035,Compliance Audit,Manufacturing,54,88000,95000,3,CONS008,2024-01-18,7.3,Low,8.0,6,Medium,Yes
PROJ036,Security Architecture,Energy,114,325000,342000,8,CONS003,2024-03-30,6.3,High,5.2,20,Low,No
PROJ037,Penetration Testing,Financial Services,41,115000,108000,4,CONS001,2024-05-15,8.5,Medium,-6.1,1,High,Yes
PROJ038,Compliance Audit,Retail,48,82000,79000,3,CONS002,2024-02-12,8.4,Low,-3.7,0,High,Yes
PROJ039,Security Architecture,Technology,89,235000,218000,5,CONS009,2024-04-22,8.7,Medium,-7.2,-4,High,Yes
PROJ040,Penetration Testing,Manufacturing,35,95000,98000,3,CONS006,2024-01-25,7.8,Medium,3.2,2,Medium,Yes
PROJ041,Compliance Audit,Healthcare,66,155000,165000,5,CONS010,2024-03-15,6.6,High,6.5,8,Medium,No
PROJ042,Security Architecture,Financial Services,93,255000,242000,6,CONS005,2024-05-28,8.8,High,-5.1,-1,High,Yes
PROJ043,Penetration Testing,Energy,43,108000,112000,4,CONS007,2024-02-20,7.9,Medium,3.7,3,Medium,Yes
PROJ044,Compliance Audit,Technology,56,102000,115000,3,CONS008,2024-04-18,6.2,Medium,12.7,10,Low,No
PROJ045,Security Architecture,Retail,86,192000,178000,4,CONS003,2024-01-30,8.3,Medium,-7.3,-5,High,Yes
PROJ046,Penetration Testing,Healthcare,52,142000,148000,5,CONS004,2024-03-25,7.4,High,4.2,5,Medium,Yes
PROJ047,Compliance Audit,Manufacturing,61,96000,89000,3,CONS002,2024-05-12,8.2,Low,-7.3,-2,High,Yes
PROJ048,Security Architecture,Financial Services,101,285000,268000,7,CONS009,2024-02-28,9.1,High,-6.0,-3,High,Yes
PROJ049,Penetration Testing,Technology,37,89000,85000,3,CONS001,2024-04-10,8.6,Low,-4.5,0,High,Yes
PROJ050,Compliance Audit,Energy,63,118000,128000,4,CONS010,2024-01-20,7.1,Medium,8.5,6,Medium,Yes
PROJ051,Penetration Testing,Financial Services,46,128000,122000,4,CONS006,2024-03-18,8.4,Medium,-4.7,1,High,Yes
PROJ052,Compliance Audit,Healthcare,72,168000,175000,5,CONS008,2024-05-05,6.9,High,4.2,9,Medium,No
PROJ053,Security Architecture,Technology,94,268000,252000,6,CONS005,2024-02-15,8.6,High,-6.0,-2,High,Yes
PROJ054,Penetration Testing,Manufacturing,40,98000,102000,3,CONS007,2024-04-28,7.7,Medium,4.1,3,Medium,Yes
PROJ055,Compliance Audit,Retail,49,85000,78000,3,CONS002,2024-01-28,8.5,Low,-8.2,-3,High,Yes
PROJ056,Security Architecture,Energy,108,312000,335000,7,CONS003,2024-03-22,6.4,High,7.4,15,Low,No
PROJ057,Penetration Testing,Healthcare,48,135000,140000,4,CONS004,2024-05-18,7.5,High,3.7,4,Medium,Yes
PROJ058,Compliance Audit,Financial Services,57,125000,118000,4,CONS010,2024-02-22,8.8,Medium,-5.6,0,High,Yes
PROJ059,Security Architecture,Technology,87,225000,210000,5,CONS009,2024-04-15,8.9,Medium,-6.7,-4,High,Yes
PROJ060,Penetration Testing,Retail,34,82000,85000,3,CONS001,2024-01-15,8.1,Low,3.7,1,Medium,Yes
