PO_ID,Date,Department,Vendor_ID,Vendor_Name,Category,Item_Description,Quantity,Unit_Price,Total_Amount,Approver,Payment_Terms,Contract_ID
PO-2024-024,2024-08-27,IT,V002,TechSource Ltd,Hardware,Monitors 24inch,30,285.00,8550.00,Sarah Chen,Net 45,C002
PO-2024-025,2024-08-30,Facilities,V016,Green Energy Co,Utilities,Solar Panel Installation,1,35000.00,35000.00,Mike Johnson,Net 15,
PO-2024-026,2024-09-02,Manufacturing,V003,Metal Works Inc,Raw Materials,Steel Rods 10mm,300,14.10,4230.00,John Miller,Net 15,
PO-2024-027,2024-09-05,HR,V017,Benefits Admin,Services,Health Insurance Processing,1,3500.00,3500.00,Lisa Wang,Net 30,
PO-2024-028,2024-09-07,Manufacturing,V001,Industrial Supply Co,Raw Materials,Aluminum Sheets,400,25.50,10200.00,John Miller,Net 30,C001
PO-2024-029,2024-09-10,IT,V018,DataSafe Inc,Services,Backup Solutions,1,6500.00,6500.00,Sarah Chen,Net 30,
PO-2024-030,2024-09-12,Facilities,V004,Office Plus,Office Supplies,Stationery Kit,50,25.00,1250.00,Mike Johnson,Net 30,C003
PO-2024-031,2024-09-15,Manufacturing,V007,Quality Materials,Raw Materials,Steel Rods 10mm,180,13.95,2511.00,John Miller,Net 45,
PO-2024-032,2024-09-18,Marketing,V019,Social Media Pro,Marketing,Social Media Management,1,4500.00,4500.00,Amy Rodriguez,Net 30,
PO-2024-033,2024-09-20,Manufacturing,V001,Industrial Supply Co,Equipment,Safety Equipment,100,35.00,3500.00,John Miller,Net 30,C001
PO-2024-034,2024-09-22,IT,V020,Cyber Shield,Services,Cybersecurity Audit,1,8500.00,8500.00,Sarah Chen,Net 15,
PO-2024-035,2024-09-25,Facilities,V021,HVAC Solutions,Services,Air Conditioning Maintenance,1,2800.00,2800.00,Mike Johnson,Net 30,
PO-2024-036,2024-09-28,Manufacturing,V003,Metal Works Inc,Raw Materials,Copper Wire,900,3.55,3195.00,John Miller,Net 15,
PO-2024-037,2024-10-01,HR,V022,Legal Services Inc,Services,Employment Law Consultation,1,5500.00,5500.00,Lisa Wang,Net 30,
PO-2024-038,2024-10-03,Manufacturing,V001,Industrial Supply Co,Raw Materials,Steel Rods 10mm,450,12.40,5580.00,John Miller,Net 30,C001
PO-2024-039,2024-10-05,IT,V002,TechSource Ltd,Hardware,Servers Dell PowerEdge,3,2500.00,7500.00,Sarah Chen,Net 45,C002
PO-2024-040,2024-10-08,Facilities,V023,Landscape Pro,Services,Grounds Maintenance,1,1800.00,1800.00,Mike Johnson,Net 30,
PO-2024-041,2024-10-10,Manufacturing,V015,Precision Tools,Equipment,Calibration Services,1,2200.00,2200.00,John Miller,Net 30,
PO-2024-042,2024-10-12,Marketing,V024,Event Planners,Marketing,Trade Show Booth,1,12000.00,12000.00,Amy Rodriguez,Net 15,
PO-2024-043,2024-10-15,Manufacturing,V007,Quality Materials,Raw Materials,Aluminum Sheets,350,26.25,9187.50,John Miller,Net 45,
PO-2024-044,2024-10-18,IT,V025,Network Pro,Services,Network Infrastructure Upgrade,1,15000.00,15000.00,Sarah Chen,Net 30,
PO-2024-045,2024-10-20,Facilities,V004,Office Plus,Office Supplies,Office Furniture,25,450.00,11250.00,Mike Johnson,Net 30,C003
