customer_id,signup_date,company_name,industry,company_size,plan_type,account_setup,profile_completion,team_invitation,integration_setup,first_project,training_completion,go_live,payment_setup,completion_date,days_to_complete,completed_onboarding,mrr,acquisition_channel
CUST023,2024-03-05,ConstructCorp,Construction,Large,Enterprise,2024-03-05,2024-03-07,,,,,,2024-03-07,,39,FALSE,1399,Webinar
CUST024,2024-03-08,GameStudio Ltd,Gaming,Small,Starter,2024-03-08,2024-03-09,2024-03-11,2024-03-14,2024-03-17,2024-03-21,2024-03-24,2024-03-09,2024-03-24,16,TRUE,199,Organic Search
CUST025,2024-03-10,BankingServices,Finance,Large,Enterprise,2024-03-10,2024-03-11,2024-03-13,2024-03-16,2024-03-19,2024-03-23,2024-03-26,2024-03-11,2024-03-26,16,TRUE,2899,Sales Outreach
CUST026,2024-03-12,FitnessChain Co,Fitness,Medium,Professional,2024-03-12,2024-03-14,2024-03-16,,,,2024-03-14,,34,FALSE,399,Paid Ads
CUST027,2024-03-15,TelcomProvider,Telecommunications,Large,Enterprise,2024-03-15,2024-03-16,2024-03-18,2024-03-21,2024-03-24,2024-03-28,2024-03-31,2024-03-16,2024-03-31,16,TRUE,1799,Content Marketing
CUST028,2024-03-18,EventPlanners Ltd,Events,Small,Professional,2024-03-18,2024-03-19,,,,,,2024-03-19,,37,FALSE,249,Partnership
CUST029,2024-03-20,WholesaleDistrib,Wholesale,Medium,Professional,2024-03-20,2024-03-21,2024-03-23,2024-03-26,2024-03-29,2024-04-02,2024-04-05,2024-03-21,2024-04-05,16,TRUE,699,Social Media
CUST030,2024-03-22,BiotechFirm Inc,Biotechnology,Large,Enterprise,2024-03-22,2024-03-23,2024-03-25,2024-03-28,2024-03-31,2024-04-04,2024-04-07,2024-03-23,2024-04-07,16,TRUE,2199,Webinar
CUST031,2024-03-25,ArchitectFirm,Architecture,Small,Professional,2024-03-25,2024-03-27,2024-03-29,,,,2024-03-27,,32,FALSE,449,Referral
CUST032,2024-03-28,PublishingHouse,Publishing,Medium,Professional,2024-03-28,2024-03-29,2024-03-31,2024-04-03,2024-04-06,2024-04-10,2024-04-13,2024-03-29,2024-04-13,16,TRUE,599,Organic Search
CUST033,2024-03-30,ChemicalCorp,Chemical,Large,Enterprise,2024-03-30,2024-04-01,,,,,,2024-04-01,,38,FALSE,1699,Sales Outreach
CUST034,2024-04-01,VeterinaryCare,Veterinary,Small,Starter,2024-04-01,2024-04-02,2024-04-04,2024-04-07,2024-04-10,2024-04-14,2024-04-17,2024-04-02,2024-04-17,16,TRUE,99,Paid Ads
CUST035,2024-04-03,SecurityServices,Security,Medium,Professional,2024-04-03,2024-04-04,2024-04-06,2024-04-09,2024-04-12,2024-04-16,2024-04-19,2024-04-04,2024-04-19,16,TRUE,799,Content Marketing
