proposal_id,client_name,industry,project_type,proposal_value,our_price,competitor_count,days_to_prepare,team_size,lead_partner,won,decision_date,client_relationship_years,project_duration_months,complexity_score,rfi_score
P033,CleanTech Innovations,Environmental,Waste Management,380000,365000,3,20,4,Lisa Thompson,1,2025-05-12,2.8,7,6,9
P034,MediaCorp Digital,Media & Entertainment,Content Strategy,260000,270000,3,17,3,David Park,0,2025-05-25,1.2,5,5,7
P035,AeroSpace Dynamics,Aerospace,Supply Chain,540000,525000,4,27,6,Sarah Chen,1,2025-06-08,4.0,10,8,8
P036,PetrolCorp Ltd,Oil & Gas,Refinery Optimization,650000,675000,5,31,7,Mike Rodriguez,0,2025-06-22,0.9,13,9,5
P037,FashionMax Retail,Fashion & Apparel,Omnichannel Strategy,320000,305000,2,18,3,Jennifer Wu,1,2025-07-05,3.3,6,5,8
P038,NanoTech Corp,Technology,Innovation Strategy,480000,465000,3,24,5,Lisa Thompson,1,2025-07-18,2.5,9,7,7
P039,AgriCorp Systems,Agriculture,Precision Farming,410000,425000,4,22,4,David Park,0,2025-08-01,1.7,8,6,6
P040,UrbanDev Corp,Real Estate,Smart Buildings,390000,375000,3,21,4,Sarah Chen,1,2025-08-15,4.8,7,7,9
P041,TransportMax,Transportation,Fleet Optimization,445000,430000,3,23,5,Mike Rodriguez,1,2025-08-28,3.4,8,6,8
P042,TechStart Ventures,Technology,Startup Acceleration,220000,215000,2,13,2,Jennifer Wu,1,2025-09-10,1.6,4,3,8
P043,IndustrialTech Corp,Industrial,Predictive Maintenance,520000,545000,4,26,6,Lisa Thompson,0,2025-09-25,2.2,10,8,6
P044,SolarTech Systems,Solar Energy,Grid Integration,480000,465000,3,24,5,David Park,1,2025-10-08,3.7,9,7,8
P045,HealthTech Innovations,Healthcare,Telemedicine Strategy,360000,355000,3,20,4,Sarah Chen,1,2025-10-22,2.4,6,6,7
P046,MarineTech Corp,Marine,Port Optimization,580000,605000,5,28,6,Mike Rodriguez,0,2025-11-05,1.0,12,9,5
P047,ConsumerGoods Inc,Consumer Products,Brand Strategy,280000,268000,2,16,3,Jennifer Wu,1,2025-11-18,4.5,5,4,9
P048,ElectroTech Systems,Electronics,Quality Management,420000,405000,3,22,4,Lisa Thompson,1,2025-12-02,3.1,7,6,8
P049,PackagingCorp Ltd,Packaging,Sustainability Initiative,340000,355000,4,19,4,David Park,0,2025-12-15,1.8,6,5,6
P050,CloudFirst Corp,Technology,DevOps Transformation,380000,365000,2,20,4,Sarah Chen,1,2025-12-28,2.6,7,6,8
