project_id,client_name,client_industry,engagement_type,project_duration_weeks,team_size,senior_partners,managers,analysts,total_hours,total_revenue,hourly_rate_achieved,proposal_rate,win_status,project_complexity,region,start_date,end_date
P036,HealthInsurance Co,Insurance,Claims Optimization,10,4,1,2,1,1600,480000,300,320,Won,Medium,North America,2025-01-01,2025-03-12
P037,AgriTech Solutions,Agriculture,Supply Chain,14,5,1,2,2,2240,448000,200,230,Won,Medium,Asia Pacific,2024-12-01,2025-03-14
P038,SpaceTech Ventures,Aerospace,Commercial Strategy,8,3,1,1,1,960,288000,300,350,Won,High,North America,2025-02-01,2025-03-29
P039,WaterManagement Inc,Utilities,Infrastructure,12,6,2,2,2,2400,600000,250,270,Won,High,North America,2024-12-15,2025-03-21
P040,FashionBrands Global,Consumer Goods,Sustainability,6,3,1,1,1,720,180000,250,300,Won,Low,Europe,2025-02-15,2025-03-29
P041,CyberSecurity Pro,Technology,Risk Assessment,4,2,1,0,1,320,128000,400,450,Won,Medium,North America,2025-03-01,2025-03-29
P042,ConstructionTech,Construction,Digital Transformation,16,6,1,3,2,2560,512000,200,250,Won,High,North America,2024-11-15,2025-03-07
P043,EdTech Platform,Education,Growth Strategy,8,4,1,2,1,1280,256000,200,240,Won,Medium,North America,2025-01-15,2025-03-12
P044,SportsTech Inc,Sports & Entertainment,Analytics Platform,10,4,1,2,1,1600,400000,250,280,Won,Medium,North America,2025-01-01,2025-03-12
P045,LuxuryBrands Corp,Luxury Goods,Market Expansion,12,5,1,2,2,1920,576000,300,330,Won,Medium,Europe,2024-12-01,2025-02-21
