ticket_id,customer_id,customer_segment,product_tier,created_date,resolved_date,agent_id,category,subcategory,priority,satisfaction_score,resolution_time_hours,conversation_length,title,description,resolution_notes
TKT-2024-011,CUST-7766,Mid-Market,Standard,2024-09-21 10:45:00,2024-09-21 16:30:00,AGT-206,Billing,Subscription Changes,Medium,4,5.8,8,Want to upgrade plan but button not working,Customer trying to upgrade from Standard to Premium but upgrade process failing at payment step.,Processed upgrade manually and fixed payment flow issue. Upgrade process working normally now.
TKT-2024-012,CUST-1122,SMB,Basic,2024-09-22 09:20:00,2024-09-24 11:45:00,AGT-109,Product,Reporting,Medium,2,50.4,14,Reports showing incorrect data,Customer reports that analytics dashboard showing wrong numbers compared to their internal tracking.,Identified data mapping issue and corrected calculations. Need clearer documentation on metrics definitions.
TKT-2024-013,CUST-5544,Enterprise,Premium,2024-09-23 14:15:00,2024-09-23 17:30:00,AGT-104,Technical,Performance,High,4,3.3,6,System timeout during peak hours,Enterprise customer experiencing frequent timeouts during business hours affecting productivity.,Increased server capacity and optimized peak hour performance. Monitoring system performance.
TKT-2024-014,CUST-9933,Mid-Market,Standard,2024-09-24 11:30:00,2024-09-25 15:45:00,AGT-207,Account,Data Export,Medium,3,28.3,10,Need to export all historical data,Customer wants to export 2 years of historical data for compliance audit. Current export limited to 6 months.,Created custom export script for historical data. Need self-service option for large exports.
TKT-2024-015,CUST-8866,SMB,Basic,2024-09-25 08:45:00,2024-09-25 13:20:00,AGT-110,Product,Notifications,Low,5,4.6,5,Email notifications not being received,Customer not receiving automated email notifications from the system. All other functions working.,Fixed email configuration and verified delivery. Email notifications working correctly now.
TKT-2024-016,CUST-2233,Enterprise,Premium,2024-09-26 10:20:00,2024-09-27 16:45:00,AGT-101,Security,Data Privacy,High,3,30.4,16,GDPR compliance questions and data deletion,Enterprise customer needs to understand GDPR compliance features and delete specific user data per request.,Explained GDPR features and processed data deletion request. Need comprehensive privacy documentation.
TKT-2024-017,CUST-6677,Mid-Market,Standard,2024-09-27 13:45:00,2024-09-28 10:15:00,AGT-208,Technical,Database,High,2,20.5,13,Database connection errors intermittently,Customer experiencing intermittent database connection failures affecting application stability.,Identified and fixed connection pooling issue. Database connections stable now.
TKT-2024-018,CUST-4488,SMB,Basic,2024-09-28 09:15:00,2024-09-28 14:30:00,AGT-111,Billing,Refund Request,Medium,4,5.3,7,Request refund for unused subscription time,Customer needs refund for remaining time on annual subscription due to business closure.,Processed pro-rated refund according to policy. Refund completed successfully.
TKT-2024-019,CUST-7755,Enterprise,Premium,2024-09-30 11:40:00,2024-10-02 15:20:00,AGT-105,Product,Custom Fields,Medium,3,51.7,12,Custom fields not saving data correctly,Enterprise customer's custom fields losing data after form submission. Critical business impact.,Fixed data validation issue causing field data loss. Custom fields working correctly now.
TKT-2024-020,CUST-3311,Mid-Market,Standard,2024-10-01 08:30:00,2024-10-01 17:45:00,AGT-209,Account,Password Reset,Low,5,9.3,4,Cannot reset password - email not arriving,Customer unable to reset password as reset emails not being delivered to their inbox.,Fixed email delivery issue and resent password reset. Customer able to access account.
TKT-2024-021,CUST-9922,SMB,Basic,2024-10-02 14:20:00,2024-10-04 11:30:00,AGT-112,Technical,Browser Compatibility,Medium,2,45.2,15,Application not working in Safari browser,Customer cannot use application in Safari browser. Features not loading correctly.,Identified Safari-specific JavaScript issue and deployed fix. Application working in all browsers now.
TKT-2024-022,CUST-5566,Enterprise,Premium,2024-10-03 09:45:00,2024-10-03 16:20:00,AGT-106,Product,Automation,High,4,6.6,9,Automated workflows not triggering correctly,Enterprise automation rules not executing as configured. Business processes being disrupted.,Fixed workflow engine bug and restarted affected automations. Workflows executing correctly now.
TKT-2024-023,CUST-8844,Mid-Market,Standard,2024-10-04 12:15:00,2024-10-07 10:45:00,AGT-210,Billing,Tax Calculation,Medium,3,70.5,17,Tax calculations appear incorrect on invoice,Customer questioning tax calculations on latest invoice. Amounts don't match their expectations.,Reviewed tax settings and corrected regional tax configuration. Invoice taxes calculating correctly now.
TKT-2024-024,CUST-1144,SMB,Basic,2024-10-05 10:30:00,2024-10-05 15:20:00,AGT-113,Product,Search Function,Low,4,4.8,6,Search feature not returning expected results,Customer unable to find records using search function. Results incomplete or missing.,Updated search indexing and improved search algorithm. Search returning accurate results now.
TKT-2024-025,CUST-6688,Enterprise,Premium,2024-10-07 08:15:00,2024-10-08 14:30:00,AGT-107,Security,API Security,High,3,30.3,14,API rate limiting blocking legitimate usage,Enterprise customer hitting API rate limits during normal business operations. Blocking critical integrations.,Increased rate limits for enterprise tier and optimized API usage patterns.
TKT-2024-026,CUST-2244,Mid-Market,Standard,2024-10-08 11:45:00,2024-10-09 16:15:00,AGT-211,Account,Team Permissions,Medium,4,28.5,9,Team member permissions not working as expected,Customer unable to set proper permissions for different team roles. Access controls not functioning.,Fixed permission system bug and updated team member roles. Permissions working correctly now.
TKT-2024-027,CUST-7799,SMB,Basic,2024-10-09 13:30:00,2024-10-11 09:45:00,AGT-114,Technical,File Upload,Medium,2,44.3,12,File upload feature completely broken,Customer cannot upload any files to the system. Upload process fails immediately.,Fixed file storage configuration and restored upload functionality. File uploads working normally now.
TKT-2024-028,CUST-4477,Enterprise,Premium,2024-10-10 09:20:00,2024-10-10 17:45:00,AGT-108,Product,Advanced Analytics,Medium,4,8.4,8,Advanced analytics module showing no data,Enterprise customer's advanced analytics dashboard completely empty despite having data.,Rebuilt analytics data pipeline and restored historical analytics data.
TKT-2024-029,CUST-9911,Mid-Market,Standard,2024-10-11 15:15:00,2024-10-14 11:20:00,AGT-212,Billing,Contract Renewal,High,3,68.1,19,Issues with automatic contract renewal,Customer's contract renewed with incorrect terms and pricing. Billing discrepancies need resolution.,Corrected contract terms and adjusted billing to match agreed pricing.
TKT-2024-030,CUST-3322,SMB,Basic,2024-10-12 08:45:00,2024-10-12 14:20:00,AGT-115,Product,Data Backup,Low,5,5.6,5,Questions about data backup and recovery,Customer wants to understand data backup procedures and how to recover deleted information.,Explained backup policy and restored accidentally deleted data for customer.
